company,eps_growth,debt_ratio,volume_spike,ceo_sentiment,fraud_risk
"Daniels, Kelly and Caldwell",0.108,0.46,0.95,0.32,0.0
"Frost, Burton and Lee",0.045,0.26,0.16,0.5,0.0
Allen LLC,-0.26,0.39,0.66,0.51,0.0
White Inc,0.037,0.43,0.02,0.16,0.0
"Bryant, Bennett and Lozano",-0.146,0.76,0.09,0.81,0.0
Kim-Oneill,0.15,0.69,0.05,0.63,0.0
Hickman PLC,0.105,0.72,0.04,0.51,1.0
Meyers LLC,-0.091,0.11,0.03,-0.89,0.0
Perez Group,-0.027,0.43,0.19,-0.99,0.0
"White, Hernandez and Ross",-0.109,0.49,0.3,-0.58,1.0
"Morris, Jacobs and Bentley",0.041,0.12,0.17,0.33,0.0
"Burns, Cochran and Rodriguez",0.193,0.31,0.03,-0.18,1.0
"Hutchinson, Black and Rodriguez",-0.098,0.71,0.33,-0.2,0.0
Murphy-Wilson,0.126,0.21,0.2,0.77,0.0
Ware-Sanchez,-0.03,0.53,0.1,0.79,0.0
Sanders-Leonard,-0.069,0.27,0.22,0.82,0.0
Newton and Sons,0.034,0.11,0.06,-0.37,0.0
Macias-Santiago,-0.105,0.29,0.08,0.38,0.0
Morris-Mckinney,-0.033,0.88,0.5,-0.46,0.0
"Johnson, Alvarez and Lewis",-0.13,0.74,0.07,-0.62,0.0
"Cannon, Fernandez and Lopez",0.345,0.87,0.13,-0.63,1.0
Carter Inc,0.055,0.49,0.44,-0.32,0.0
Kelley and Sons,-0.055,0.19,0.25,-0.14,0.0
Jones LLC,0.082,0.54,0.01,0.66,0.0
Guerrero-Campbell,0.033,0.46,0.03,-0.76,0.0
Robbins PLC,0.017,0.78,0.0,0.47,0.0
Sanford-Hernandez,0.142,0.18,0.2,0.06,0.0
Cook-Manning,0.164,0.49,0.12,-0.42,0.0
Burton Group,-0.03,0.22,0.03,-0.01,0.0
Davis-Cole,-0.036,0.36,0.63,-0.4,0.0
"Roberts, Mitchell and Campbell",0.009,0.69,0.15,0.19,0.0
Salinas-Clark,-0.295,0.48,0.06,-0.13,1.0
Williams-Moore,-0.177,0.4,0.14,-0.67,0.0
"Wright, Hess and Baker",0.255,0.42,0.23,-0.77,0.0
"Lane, Brown and Martinez",0.297,0.47,0.02,0.09,1.0
"Bryan, Nelson and Jones",0.013,0.73,0.06,0.8,0.0
"Freeman, Perez and Greene",0.136,0.81,0.33,-0.31,0.0
Solomon Group,0.097,0.86,0.12,0.47,0.0
Cummings-Davis,0.512,0.73,0.16,0.32,0.0
"Smith, Hall and King",0.218,0.35,0.11,0.86,0.0
"Nelson, Lyons and Roberts",0.031,0.65,0.01,0.64,1.0
Smith Inc,-0.093,0.45,0.04,0.13,0.0
"Matthews, Gould and Wolfe",-0.191,0.3,0.12,0.31,0.0
Dorsey-Kelley,0.081,0.77,0.05,0.8,0.0
"Green, Brooks and Johnson",-0.063,0.13,0.01,-0.2,1.0
"Hughes, Gentry and Snyder",-0.163,0.82,0.37,-0.35,0.0
Holland-Ingram,-0.047,0.47,0.79,-0.98,0.0
Murray Ltd,-0.112,0.61,0.32,0.65,0.0
Mitchell Group,0.303,0.63,0.38,0.6,0.0
Hamilton LLC,0.182,0.82,0.06,-0.79,0.0
Coleman-Callahan,0.049,0.61,0.65,0.15,0.0
"Mccoy, Townsend and Richardson",0.272,0.59,0.04,-0.07,0.0
Castillo Ltd,0.062,0.15,0.6,-0.76,0.0
Robinson-Weaver,-0.079,0.51,1.05,0.96,0.0
"Walker, Dominguez and Williams",0.278,0.22,0.25,-0.57,0.0
"Fletcher, Miller and Bowers",0.131,0.69,0.79,-0.87,0.0
Gregory Group,-0.106,0.51,0.17,0.19,1.0
"Valdez, Campbell and Smith",0.021,0.64,0.06,0.48,0.0
"Ball, Obrien and Baxter",-0.081,0.13,0.11,-0.94,0.0
Reid-Graham,-0.157,0.17,0.18,0.32,0.0
Adams-Duran,0.189,0.67,0.02,0.06,0.0
Banks-Brown,0.336,0.16,0.19,-0.79,0.0
Carter-Boyle,-0.16,0.16,0.79,-0.65,0.0
"Jones, Crawford and Costa",0.134,0.11,0.04,0.14,0.0
Hill-Scott,-0.048,0.87,0.31,-0.41,0.0
Guzman Inc,-0.023,0.69,0.48,0.88,1.0
"Strong, Cook and Bell",-0.039,0.38,0.58,0.64,0.0
"Reed, Beasley and Ramos",-0.08,0.34,0.64,0.97,0.0
Strong Ltd,0.057,0.38,0.15,-0.48,0.0
Hodge-Logan,-0.075,0.72,0.76,0.94,0.0
Hughes-Myers,0.091,0.63,0.28,-0.14,1.0
"Lee, Roberts and Harris",0.042,0.25,0.04,-0.3,0.0
"Dunn, Nunez and Bell",0.014,0.24,0.13,-0.9,0.0
"Flores, Clark and King",-0.086,0.18,0.25,-0.89,0.0
"Martin, Johnson and Cox",-0.037,0.63,0.06,0.38,0.0
"Johnson, Beasley and Nguyen",0.163,0.71,0.2,-0.08,0.0
Baker-Estrada,0.125,0.31,0.22,-0.55,1.0
Stanton-Terrell,-0.097,0.12,0.04,0.23,0.0
"Oneill, Cobb and Ortega",0.065,0.17,0.17,-0.49,0.0
Moon and Sons,0.163,0.87,0.3,0.16,0.0
Scott PLC,-0.2,0.34,0.14,-0.28,0.0
"Horne, Warner and Sullivan",0.132,0.72,0.0,0.65,0.0
Howard-Lambert,-0.049,0.6,0.0,0.64,0.0
"Lambert, Smith and Patel",0.136,0.41,0.09,-0.05,0.0
Rodriguez Inc,-0.064,0.26,0.52,-0.3,0.0
"Bennett, Wood and Zavala",-0.221,0.2,0.05,-0.27,0.0
"Foster, Moore and Rodgers",-0.194,0.59,0.2,0.61,0.0
Mills and Sons,0.057,0.72,0.05,-0.34,0.0
"Sanchez, Valdez and Meyer",0.089,0.62,0.08,-0.58,0.0
Sherman Inc,-0.086,0.52,0.38,-0.83,0.0
Green Ltd,0.146,0.13,0.26,-0.07,0.0
Hancock and Sons,-0.199,0.87,0.02,-0.04,0.0
Rodriguez-Arias,0.04,0.74,0.11,0.68,0.0
Kennedy-Thompson,-0.132,0.33,0.01,-0.56,0.0
Navarro-Roberts,-0.048,0.88,0.13,-0.24,0.0
Harrison-Vasquez,0.057,0.58,0.22,0.62,0.0
Lopez-Ortiz,-0.079,0.57,0.03,0.65,0.0
Jones PLC,-0.008,0.7,0.07,-0.23,0.0
Payne-Griffith,0.201,0.75,0.1,-0.08,0.0
"Webb, Spears and Sanchez",-0.037,0.63,0.5,-0.39,1.0
"Schaefer, Parks and Duncan",0.175,0.2,1.0,0.87,0.0
Vang-Cline,-0.119,0.37,0.01,-0.76,0.0
"Murphy, Zhang and Nixon",0.129,0.84,0.29,0.87,1.0
Smith-Lamb,0.266,0.28,0.09,0.37,0.0
Palmer Inc,-0.321,0.4,0.1,0.06,0.0
"Richardson, Lopez and Nelson",-0.07,0.45,0.28,-0.93,0.0
Smith Ltd,0.137,0.45,0.5,-0.05,0.0
Garcia Inc,0.02,0.59,0.6,-0.18,1.0
Young and Sons,0.106,0.85,0.17,-0.68,0.0
Patrick Inc,-0.041,0.29,0.09,0.31,0.0
"Stone, Hatfield and Palmer",0.063,0.2,0.31,0.94,0.0
Buckley PLC,0.027,0.26,0.06,0.12,0.0
Gamble-Walter,0.225,0.81,0.17,0.43,0.0
Salazar and Sons,0.088,0.62,0.09,-0.86,0.0
Jones PLC,0.101,0.33,0.21,-0.16,0.0
"Cook, Wilson and Thompson",-0.012,0.75,0.05,-0.77,0.0
"Gonzalez, Conway and Wood",-0.023,0.79,0.04,0.23,0.0
"Jones, King and Myers",-0.015,0.78,0.5,0.88,0.0
"Vance, Gonzalez and Lawrence",0.109,0.84,0.02,0.32,0.0
"Johnson, Cohen and Porter",-0.013,0.3,0.14,-0.85,0.0
Horton-Walls,0.093,0.7,0.05,-0.29,0.0
Mitchell-Harris,0.361,0.47,0.01,0.1,0.0
Tucker Inc,0.181,0.77,0.01,-0.19,0.0
"Dillon, Price and Travis",0.001,0.68,0.04,0.67,0.0
Zavala Inc,0.23,0.72,0.4,0.63,0.0
Sweeney PLC,-0.011,0.62,0.07,0.22,0.0
Pierce Inc,-0.256,0.24,0.6,-0.25,1.0
"Freeman, Welch and Norman",-0.101,0.54,0.17,-0.49,0.0
Spencer Ltd,-0.231,0.89,0.11,-0.79,0.0
Bowen Ltd,-0.003,0.85,0.17,-0.29,0.0
Hardy-Patel,0.053,0.13,0.15,-0.17,0.0
Dalton Group,0.301,0.23,0.28,0.35,0.0
"Mack, Fisher and Lowe",0.099,0.21,0.07,0.32,0.0
Shepherd-Williams,0.017,0.68,0.09,-0.86,0.0
"Fernandez, Hill and Gonzales",0.174,0.75,0.45,-0.21,0.0
Mcdaniel-Palmer,-0.282,0.27,0.59,-0.64,0.0
Black Inc,0.085,0.5,0.45,-0.69,0.0
Grimes-Anderson,0.166,0.77,0.11,0.65,0.0
Holder-Ryan,-0.172,0.69,0.3,-0.92,0.0
Braun PLC,0.222,0.53,0.13,-0.16,0.0
Ortega LLC,0.101,0.57,0.14,-0.66,0.0
Bird LLC,-0.012,0.51,0.05,0.76,0.0
Henry LLC,0.145,0.34,0.18,0.11,0.0
Hill-Perry,0.391,0.55,0.04,-0.54,0.0
Webb-Tate,0.077,0.65,0.08,0.0,0.0
"Mendez, Richmond and Roman",0.087,0.8,0.39,0.46,0.0
"Pacheco, Torres and Gonzales",-0.019,0.61,0.05,0.92,0.0
Moore-Wall,-0.077,0.71,0.01,-0.56,0.0
"Williams, Jimenez and Mcmillan",0.175,0.23,0.01,0.77,0.0
Henson Inc,-0.078,0.47,0.57,0.87,0.0
"Zimmerman, Thomas and Hernandez",0.061,0.11,0.14,0.83,0.0
Smith LLC,-0.022,0.3,0.11,0.27,0.0
Johnson-Gallagher,0.122,0.68,0.33,0.26,1.0
Garcia-Day,0.1,0.89,0.36,-0.19,0.0
"Heath, Smith and Harrington",0.206,0.18,0.08,0.5,0.0
"Griffin, Wong and Webb",-0.027,0.42,0.24,0.06,1.0
Jennings-Gonzalez,0.01,0.74,0.29,0.35,0.0
Lester Inc,-0.097,0.26,0.21,-0.14,0.0
Coleman LLC,-0.017,0.54,0.03,0.46,0.0
Schroeder Ltd,0.107,0.69,0.42,0.65,1.0
Cohen PLC,0.164,0.59,0.15,-0.71,0.0
Ramirez and Sons,-0.088,0.25,0.07,0.67,0.0
Dominguez-Morrison,0.18,0.38,0.11,0.08,1.0
Wilson PLC,0.253,0.73,0.01,0.69,0.0
Sanchez-Kline,0.112,0.54,0.03,-0.14,1.0
"Mcdaniel, Terry and Ford",0.332,0.1,0.29,-0.24,0.0
Vaughan Ltd,-0.066,0.71,0.0,0.83,0.0
"Sullivan, Mcbride and Monroe",-0.137,0.13,0.11,-0.5,0.0
Beck-Williams,-0.217,0.7,0.15,0.69,0.0
"Brooks, Petty and Goodwin",0.274,0.26,0.01,-0.03,0.0
"Bennett, Bender and Nelson",0.148,0.87,0.72,0.03,0.0
"Ingram, Miller and Davis",0.042,0.39,0.05,-0.38,0.0
"Parker, Martin and Peterson",0.092,0.36,0.07,0.15,0.0
Wall Group,-0.119,0.22,0.07,-0.35,0.0
Villa-Lindsey,0.417,0.34,0.05,-0.92,0.0
Andrews Group,0.069,0.8,0.0,-0.46,0.0
Rodriguez LLC,0.066,0.9,0.26,-0.99,0.0
Thomas-Munoz,0.159,0.39,0.68,0.96,0.0
Bradshaw PLC,0.122,0.46,0.05,0.93,0.0
Simpson-Lutz,0.084,0.68,0.22,-0.21,0.0
Barrett-Owen,-0.069,0.81,0.27,0.46,0.0
Johnson-Hughes,0.121,0.57,0.38,-0.31,0.0
Decker-Short,0.332,0.41,0.11,0.34,0.0
Anderson-Hill,0.252,0.43,0.07,0.61,0.0
Kelley-Lucas,0.289,0.66,0.08,0.89,0.0
Stokes Ltd,-0.027,0.1,0.25,-0.2,0.0
Smith-Smith,-0.098,0.6,0.34,0.57,0.0
Anderson-Cooper,0.031,0.38,0.04,-0.47,0.0
"Wallace, Howe and Campos",0.058,0.74,0.09,0.98,1.0
"Salazar, Smith and Johnston",0.214,0.17,0.46,-0.95,0.0
Mcmahon-Lawson,-0.204,0.57,0.33,0.21,0.0
"Arnold, Long and Murphy",0.279,0.48,0.84,0.32,0.0
Black-Wallace,0.026,0.61,0.28,0.38,0.0
Wright and Sons,-0.014,0.15,0.1,-0.76,0.0
Baxter-Taylor,-0.102,0.56,0.18,0.88,0.0
Smith-Terry,-0.198,0.55,0.22,-0.64,0.0
"Cowan, Shelton and Rodriguez",0.173,0.55,0.02,0.25,0.0
Hawkins-Allen,0.061,0.58,0.16,-0.55,0.0
"Campbell, Glenn and Braun",-0.143,0.64,0.25,-0.39,0.0
Brock and Sons,-0.144,0.74,0.04,0.09,0.0
Garcia-Brown,-0.0,0.32,0.3,-0.17,0.0
"Powell, Contreras and Williams",0.3,0.76,0.18,-0.68,0.0
"Burton, Bowman and Proctor",0.011,0.5,0.61,-0.66,0.0
Cook-George,-0.175,0.16,0.01,-0.16,0.0
"West, Curtis and Lara",0.013,0.15,0.06,0.51,0.0
Davis-Nguyen,0.009,0.37,0.18,0.8,0.0
Hatfield PLC,-0.355,0.73,0.07,-0.83,0.0
"Terrell, Sanders and Ballard",0.042,0.67,0.25,-0.21,0.0
Skinner-Stout,0.015,0.73,0.28,-0.8,0.0
"Joyce, Miller and Hartman",0.154,0.51,0.02,-0.97,0.0
"Ball, Coleman and Cox",0.327,0.45,0.14,0.32,0.0
Smith-Farrell,0.219,0.22,0.14,0.2,0.0
Hill-Hayes,0.01,0.36,0.09,-0.67,0.0
Lee Inc,-0.116,0.45,0.54,-0.53,0.0
Reed Group,0.436,0.17,0.35,-0.95,0.0
Mcdonald-Miller,0.059,0.28,0.24,0.67,1.0
Atkins LLC,0.052,0.58,0.25,0.95,0.0
Williams Inc,0.046,0.69,0.12,-0.73,0.0
"Paul, Thompson and Oliver",0.08,0.9,0.51,-0.54,0.0
Willis-Hartman,0.028,0.85,0.24,0.74,0.0
"Pace, Barr and Lynn",-0.036,0.61,0.26,0.85,0.0
Lambert Group,-0.032,0.44,0.4,-0.16,0.0
Reyes-Stevens,0.045,0.61,0.06,-0.9,0.0
Avila Inc,-0.032,0.73,0.33,-0.92,0.0
Reed PLC,-0.057,0.19,0.04,0.15,0.0
"Christian, Hood and Long",0.066,0.43,0.08,-0.21,0.0
Thompson Ltd,0.012,0.77,0.08,-0.94,0.0
Henry LLC,0.276,0.41,0.77,0.17,0.0
Castro-Roberson,-0.348,0.56,0.39,-0.98,0.0
"Gutierrez, Martin and Brown",0.214,0.57,0.24,0.57,0.0
Johnson-Sims,0.237,0.25,0.26,-0.39,0.0
Johnson-Burton,-0.261,0.39,0.17,-0.92,0.0
Martinez Group,-0.001,0.37,0.59,0.18,0.0
Freeman LLC,-0.006,0.12,0.14,-0.2,0.0
Koch PLC,-0.161,0.12,0.1,0.95,0.0
Conway-Parker,-0.067,0.77,0.04,0.09,0.0
"Herrera, Patton and Rodriguez",-0.117,0.32,0.31,-0.45,0.0
Colon-Buck,0.313,0.51,0.27,0.42,0.0
Murray-Roberts,0.19,0.34,0.1,-0.46,0.0
Bell PLC,0.241,0.85,0.01,0.81,0.0
Singh LLC,0.158,0.31,0.37,-0.25,0.0
Bell-Crawford,-0.119,0.44,0.0,0.1,0.0
"Bird, Mccoy and Martinez",-0.029,0.8,0.24,-0.9,1.0
Santiago LLC,0.123,0.77,0.7,-0.15,1.0
Smith LLC,-0.133,0.25,0.12,0.66,0.0
Montes-Wagner,0.157,0.74,0.05,0.61,0.0
"Chen, Shields and Torres",0.014,0.47,0.24,-0.55,0.0
Brown-Oconnor,-0.006,0.49,0.34,-0.55,0.0
"Johnson, Phillips and Foster",0.157,0.21,0.16,0.63,0.0
Garcia-Maldonado,0.117,0.16,0.68,0.86,0.0
Rosario-Davis,-0.004,0.68,0.01,-0.81,0.0
Adams-Morton,0.224,0.5,0.14,-0.1,0.0
"Dunn, Walker and Roberts",-0.112,0.45,0.25,-0.33,0.0
Perez-Li,0.142,0.68,0.4,0.74,0.0
Shaw-Sutton,0.139,0.71,0.04,-0.83,0.0
Murphy-Larsen,0.004,0.23,0.32,-0.58,0.0
Alvarez LLC,0.099,0.59,0.16,0.5,0.0
Ellis Ltd,-0.138,0.21,0.1,-0.9,0.0
"Pennington, Wells and Chen",0.189,0.7,0.03,-0.01,1.0
Morgan Inc,0.022,0.63,0.4,-0.12,0.0
Vazquez LLC,-0.028,0.87,0.03,-0.33,0.0
Harris-Merritt,0.207,0.16,0.07,-0.21,0.0
Keller-Cardenas,-0.056,0.15,0.07,0.06,0.0
Johnson PLC,-0.161,0.33,0.41,-0.68,0.0
Ross PLC,-0.183,0.31,0.22,0.14,0.0
Rodriguez Inc,0.141,0.3,0.32,0.61,0.0
Watkins-Martinez,-0.142,0.83,0.06,0.52,0.0
Guerrero-Page,0.313,0.3,0.2,-0.69,0.0
Dean Ltd,-0.262,0.32,0.17,-0.7,0.0
"Andrews, Turner and Martin",0.304,0.71,0.36,-0.46,1.0
Huang-Shepard,0.082,0.46,0.47,-0.28,0.0
"Fitzgerald, Romero and Miller",0.035,0.72,0.0,-0.18,0.0
"Williams, Kidd and Porter",-0.032,0.15,0.22,0.36,0.0
"Brown, Thomas and Garcia",0.11,0.49,0.01,-0.89,0.0
Baker-Booth,0.044,0.13,0.16,-0.93,0.0
Bartlett PLC,0.215,0.15,0.07,-0.22,0.0
Harrington-Conway,0.067,0.83,0.07,0.39,0.0
"Oliver, Taylor and Bauer",0.073,0.21,0.09,-0.61,0.0
Francis Ltd,-0.005,0.53,0.19,0.28,0.0
"Warner, Sanchez and Castro",0.041,0.43,0.08,-0.48,0.0
Brown-Chambers,0.096,0.38,0.26,0.77,1.0
"Huang, Whitehead and Levy",-0.207,0.82,0.1,0.79,0.0
"Smith, Snyder and Roberts",-0.152,0.12,0.01,-0.41,0.0
"Dillon, Young and Gonzalez",0.161,0.63,0.31,-0.54,0.0
"Davis, Bernard and Kent",0.076,0.87,0.07,-0.18,0.0
Baker LLC,0.022,0.55,0.11,-0.52,0.0
Zhang Inc,0.053,0.85,0.23,0.34,0.0
"Sanchez, Murphy and Sutton",0.102,0.14,0.08,0.65,0.0
"Wright, Scott and Brown",-0.031,0.44,0.01,0.35,0.0
Brown-Dalton,-0.067,0.31,0.09,0.65,0.0
Colon and Sons,0.079,0.68,0.58,-0.21,0.0
"Myers, Bryant and Ochoa",-0.097,0.89,0.21,-0.69,1.0
"Conley, Weber and Woodward",0.111,0.31,0.22,0.48,0.0
Clark LLC,-0.205,0.62,0.2,-0.28,0.0
Mccall-Crawford,0.204,0.26,0.04,0.34,0.0
"Lawrence, Nunez and Wood",0.121,0.55,0.11,-0.46,0.0
Camacho Inc,0.088,0.47,0.28,-0.84,0.0
Martinez-Harrell,0.197,0.88,0.02,0.99,0.0
Hernandez and Sons,0.3,0.59,0.07,-0.69,0.0
Phillips Group,0.202,0.38,0.06,0.98,0.0
Mitchell-Patterson,-0.226,0.19,0.11,0.95,0.0
Browning-Mcdonald,-0.142,0.22,0.79,0.59,0.0
"Evans, Booker and Bridges",-0.044,0.28,0.01,0.32,0.0
"Martinez, Anderson and Adams",0.054,0.3,0.15,0.16,0.0
"Riley, Callahan and Huerta",0.128,0.78,0.04,0.73,0.0
Harris and Sons,-0.059,0.55,0.71,-0.42,0.0
Richardson and Sons,0.078,0.52,0.02,-0.06,0.0
"Webster, Taylor and Ryan",-0.063,0.19,0.1,0.24,0.0
Ellis and Sons,-0.042,0.79,0.27,-0.18,0.0
Price-Ryan,-0.161,0.68,0.24,-0.15,0.0
Larson-White,-0.088,0.15,0.11,-0.34,0.0
Collins-Parker,-0.153,0.67,0.09,0.13,0.0
"Gonzalez, Moore and Fowler",-0.096,0.53,0.1,0.7,0.0
Murphy Ltd,0.208,0.17,0.06,-0.6,0.0
Wagner Group,-0.092,0.47,0.05,0.87,0.0
Wyatt-White,0.445,0.49,0.13,0.38,0.0
Garcia-Duran,0.124,0.23,0.06,0.65,0.0
Cox PLC,0.078,0.86,0.07,0.11,1.0
Bender Group,-0.079,0.78,0.21,0.56,0.0
Maldonado-Faulkner,0.155,0.64,0.69,-0.97,0.0
Camacho-Davies,-0.036,0.47,0.19,0.64,0.0
Finley-Garza,0.068,0.43,0.02,-0.92,0.0
Cox-Scott,0.434,0.62,0.02,0.78,0.0
Miranda Inc,0.036,0.54,0.6,0.98,0.0
"Chapman, Ellis and Conner",0.222,0.15,0.07,-0.41,0.0
Rodriguez-Cole,-0.055,0.51,0.02,-0.58,0.0
Reid-Bryant,0.045,0.75,0.18,0.53,0.0
Harrington PLC,0.316,0.47,0.2,-0.49,0.0
Foster Ltd,-0.044,0.14,0.21,0.73,0.0
"Fletcher, Newton and Campbell",0.322,0.73,0.06,-0.79,1.0
Smith LLC,0.156,0.26,0.0,-0.75,0.0
"Hayes, Daniels and Sanchez",-0.034,0.31,0.67,0.96,0.0
Lewis-Davis,0.145,0.23,0.06,0.35,0.0
Santana-Gonzalez,0.196,0.36,0.23,0.69,1.0
Baldwin-Wilcox,0.143,0.71,0.25,-0.35,0.0
Robinson LLC,-0.186,0.52,0.19,0.35,0.0
Austin-Anderson,-0.059,0.26,0.08,0.19,0.0
Chavez-Marshall,0.013,0.8,0.06,0.21,1.0
Harrell-Elliott,0.039,0.8,0.18,0.37,0.0
"Hansen, Fuentes and Banks",0.143,0.8,0.4,0.15,0.0
"Martinez, Adams and Whitaker",0.077,0.29,0.59,-0.14,0.0
Russell-Abbott,-0.15,0.46,0.02,-0.45,0.0
Webb Inc,0.107,0.89,0.03,0.54,0.0
"Banks, George and Garcia",0.142,0.72,0.58,-0.55,0.0
Williams Group,0.134,0.12,0.27,0.38,1.0
Gilbert LLC,0.212,0.15,0.43,-0.53,0.0
Murphy-Townsend,0.175,0.47,0.05,0.25,0.0
Ward-Rogers,0.119,0.83,0.18,0.49,0.0
"Hernandez, Saunders and Alexander",0.039,0.53,0.24,-0.56,0.0
"Stephens, Anderson and Reese",-0.199,0.5,0.23,-0.88,0.0
Harris-Alvarez,0.114,0.18,0.1,-0.74,0.0
"Cooper, Wagner and Rose",0.081,0.63,0.0,0.21,1.0
Powell Inc,0.091,0.76,0.17,0.7,0.0
"Carter, Hughes and Brown",-0.142,0.4,0.06,-0.91,0.0
"Gross, Wilson and Davis",-0.112,0.72,0.12,0.47,1.0
"Tucker, Garcia and Anderson",0.208,0.87,0.63,-0.32,1.0
Brady Group,0.044,0.26,0.1,-0.04,0.0
Reese Inc,0.152,0.52,0.37,0.86,0.0
Vargas-Williams,0.054,0.33,0.04,-0.34,1.0
Dominguez PLC,0.054,0.73,0.22,-0.07,0.0
Bernard Inc,0.191,0.56,0.75,-0.97,0.0
"Francis, Lopez and Huff",-0.027,0.61,0.02,-0.84,0.0
Davis Ltd,0.064,0.74,0.0,-0.48,0.0
Travis PLC,-0.019,0.42,0.11,-0.94,1.0
Alvarez Ltd,-0.015,0.83,0.02,0.26,0.0
"White, Austin and Mckenzie",0.004,0.53,0.28,-0.15,0.0
"Moon, Dyer and Moyer",0.083,0.23,0.49,0.1,0.0
"Hendrix, Morris and Wright",-0.022,0.66,0.11,-0.65,0.0
"Hunter, Sims and Phillips",0.238,0.73,0.06,-0.41,0.0
King-Rosario,-0.084,0.35,0.11,0.33,0.0
Lopez LLC,0.022,0.79,0.26,0.93,0.0
Russell-Clark,-0.016,0.82,0.0,-0.9,1.0
"Ward, Roy and Maxwell",0.267,0.32,0.18,0.78,0.0
"Bennett, Jones and Koch",0.079,0.89,0.19,0.15,0.0
Hayes-Hogan,0.205,0.21,0.2,0.13,0.0
"Rodgers, Powell and Hill",-0.173,0.26,0.06,0.0,0.0
Petersen-Bell,0.09,0.25,0.25,-0.86,0.0
Mueller-Flores,0.183,0.82,0.02,-0.82,0.0
Frederick and Sons,0.062,0.62,0.04,0.2,0.0
"Parrish, Randolph and Benton",0.21,0.22,0.42,-0.32,0.0
"Garcia, Clarke and Powell",-0.028,0.45,0.27,0.83,0.0
Smith-Owens,0.261,0.59,0.0,-0.19,0.0
Kent-Davis,0.395,0.17,0.06,-0.71,0.0
"Baker, Brown and Juarez",-0.004,0.81,0.05,0.43,0.0
Leon Group,-0.017,0.74,0.06,-0.41,0.0
Zimmerman and Sons,0.268,0.5,0.06,0.05,0.0
Martin Group,0.287,0.87,0.01,0.4,1.0
Wood Group,-0.028,0.43,0.12,0.8,0.0
"Wilson, Harris and Jones",-0.013,0.89,0.26,0.58,0.0
Oneill-Gutierrez,0.008,0.63,0.19,0.35,0.0
Larson Ltd,-0.152,0.61,0.22,0.36,0.0
Gonzalez-Jones,-0.088,0.23,0.02,0.89,0.0
Diaz Ltd,-0.101,0.81,0.61,-0.41,0.0
Collins-Barr,-0.065,0.44,0.36,-1.0,0.0
Wolfe-Rodriguez,0.045,0.23,0.33,-0.46,0.0
Martinez-Whitaker,0.085,0.11,0.35,-0.56,0.0
Sandoval-Brandt,0.283,0.55,0.54,0.32,1.0
Browning and Sons,-0.1,0.52,0.16,0.27,1.0
Rowe-Daniels,0.198,0.68,0.04,0.19,0.0
Ross Inc,0.018,0.81,0.19,-0.97,0.0
"Newton, Beard and Fisher",0.043,0.16,0.27,0.46,0.0
Patel-Mason,0.151,0.69,0.27,-0.35,1.0
Campbell-Crawford,-0.118,0.25,0.15,0.33,0.0
"Bullock, Thomas and Sanders",0.107,0.79,0.01,0.11,0.0
Wyatt LLC,0.075,0.76,0.09,-0.31,0.0
"Russell, Maldonado and Sanchez",0.124,0.53,0.51,-0.73,0.0
Allen-Herrera,0.093,0.67,0.18,-0.81,0.0
Martin PLC,0.418,0.35,0.15,0.66,0.0
Lutz and Sons,-0.046,0.48,0.06,0.84,0.0
"Curtis, Smith and Hunt",-0.03,0.76,0.09,0.3,0.0
"Wade, James and Barnes",-0.043,0.47,0.45,-0.79,0.0
"Burke, Fisher and Mcclain",-0.033,0.39,0.22,-0.2,0.0
"Garcia, Pacheco and Hendricks",-0.046,0.5,0.31,0.46,0.0
Conley Inc,0.228,0.76,0.12,0.56,0.0
Smith-Perez,0.263,0.37,0.2,-0.76,0.0
Murillo Ltd,-0.036,0.24,0.06,-1.0,0.0
Mendoza-Walsh,-0.075,0.67,0.24,0.42,0.0
Carney-Jackson,0.121,0.76,0.11,-0.29,0.0
"Mills, Sanchez and Munoz",-0.033,0.18,0.12,-0.49,0.0
Vaughn-Alexander,0.145,0.29,0.21,-0.97,0.0
"Johnson, White and White",0.08,0.21,0.55,0.08,0.0
"Smith, Yoder and Nash",-0.177,0.38,0.01,0.7,0.0
Stewart-Rodriguez,0.282,0.46,0.35,0.92,0.0
Walters-Benton,0.319,0.7,0.07,0.13,0.0
Taylor-Green,-0.042,0.62,0.12,0.03,0.0
Smith LLC,-0.008,0.6,0.0,-0.83,1.0
Hampton-Patrick,0.093,0.38,0.07,0.1,0.0
Patterson-Figueroa,0.1,0.77,0.14,-0.24,0.0
Watts-Campbell,0.149,0.48,0.01,0.21,0.0
"Dougherty, Moore and Patel",0.352,0.88,0.14,-0.22,0.0
Franklin-Ho,0.023,0.61,0.52,-0.52,0.0
"Kelly, Watts and Martinez",-0.07,0.2,0.02,-0.81,0.0
"Hayden, Macdonald and Day",-0.157,0.64,0.29,-0.37,0.0
Morris Group,-0.06,0.36,0.11,-0.81,0.0
"Jackson, Knox and Page",0.045,0.65,0.21,-0.65,0.0
Lawrence Inc,0.319,0.16,0.06,0.97,0.0
"Ford, Spencer and Patton",-0.028,0.24,0.03,-0.11,1.0
Lopez LLC,0.084,0.78,0.03,0.06,1.0
"Oneill, Pearson and Bailey",0.048,0.28,0.01,0.75,0.0
Payne Inc,0.228,0.77,0.04,0.99,0.0
Howell Group,0.429,0.32,0.22,0.17,0.0
